"Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"abind","/usr/local/lib/R/site-library","1.4-8",NA,"R (>= 1.5.0)","methods, utils",NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.1"
"AnnotationDbi","/usr/local/lib/R/site-library","1.72.0",NA,"R (>= 2.7.0), methods, stats4, BiocGenerics (>= 0.29.2),
Biobase (>= 1.17.0), IRanges","DBI, RSQLite, S4Vectors (>= 0.9.25), stats, KEGGREST",NA,"utils, hgu95av2.db, GO.db, org.Sc.sgd.db, org.At.tair.db,
RUnit, TxDb.Hsapiens.UCSC.hg19.knownGene, org.Hs.eg.db,
reactome.db, AnnotationForge, graph, EnsDb.Hsapiens.v75,
BiocStyle, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.5.1"
"AnnotationFilter","/usr/local/lib/R/site-library","1.34.0",NA,"R (>= 3.4.0)","utils, methods, GenomicRanges, lazyeval",NA,"BiocStyle, knitr, testthat, RSQLite, org.Hs.eg.db, rmarkdown",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.5.1"
"ape","/usr/local/lib/R/site-library","5.8-1",NA,"R (>= 3.2.0)","nlme, lattice, graphics, methods, stats, utils, parallel, Rcpp
(>= 0.12.0), digest","Rcpp","gee, expm, igraph, phangorn, xml2",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.5.1"
"arrow","/usr/local/lib/R/site-library","22.0.0",NA,"R (>= 4.1)","assertthat, bit64 (>= 0.9-7), glue, methods, purrr, R6, rlang
(>= 1.0.0), stats, tidyselect (>= 1.0.0), utils, vctrs","cpp11 (>= 0.4.2)","blob, curl, cli, DBI, dbplyr, decor, distro, dplyr, duckdb
(>= 0.2.8), hms, jsonlite, knitr, lubridate, pillar, pkgload,
reticulate, rmarkdown, stringi, stringr, sys, testthat (>=
3.1.0), tibble, tzdb, withr",NA,"Apache License (>= 2.0)",NA,NA,NA,NA,"yes","4.5.1"
"askpass","/usr/local/lib/R/site-library","1.2.1",NA,NA,"sys (>= 2.1)",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.5.1"
"assertthat","/usr/local/lib/R/site-library","0.2.1",NA,NA,"tools",NA,"testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"no","4.5.1"
"assorthead","/usr/local/lib/R/site-library","1.4.0",NA,NA,NA,NA,"knitr, rmarkdown, BiocStyle",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.1"
"Azimuth","/usr/local/lib/R/site-library","0.5.0",NA,"R (>= 4.0.0)","BSgenome.Hsapiens.UCSC.hg38, DT (>= 0.15), EnsDb.Hsapiens.v86,
future (>= 1.19.1), ggplot2 (>= 3.3.2), glmGamPoi (>= 1.0.0),
googlesheets4 (>= 0.2.0), hdf5r (>= 1.3.2), htmltools (>=
0.5.0), httr (>= 1.4.2), JASPAR2020, jsonlite (>= 1.7.0),
Matrix (>= 1.2.18), methods, patchwork (>= 1.0.1), presto, Rcpp
(>= 1.0.7), rlang (>= 0.4.8), scales (>= 1.1.1), Seurat (>=
5.0.0), SeuratDisk, SeuratObject (>= 5.0.0), SeuratData, shiny
(>= 1.5.0), shinyBS (>= 0.61), shinydashboard (>= 0.7.1),
shinyjs (>= 2.0.0), Signac (>= 1.12.0), stats, stringr (>=
1.4.0), TFBSTools, tools, utils, plotly, withr (>= 2.3.0)","Rcpp(>= 0.11.0)",NA,NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.5.1"
"base64enc","/usr/local/lib/R/site-library","0.1-3",NA,"R (>= 2.9.0)",NA,NA,NA,"png","GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.5.1"
"beachmat","/usr/local/lib/R/site-library","2.26.0",NA,NA,"methods, DelayedArray (>= 0.27.2), SparseArray, BiocGenerics,
Matrix, Rcpp","Rcpp, assorthead (>= 1.3.3)","testthat, BiocStyle, knitr, rmarkdown, rcmdcheck,
BiocParallel, HDF5Array, beachmat.hdf5",NA,"GPL-3",NA,NA,NA,NA,"yes","4.5.1"
"beeswarm","/usr/local/lib/R/site-library","0.4.0",NA,NA,"stats, graphics, grDevices, utils",NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.5.1"
"BH","/usr/local/lib/R/site-library","1.87.0-1",NA,NA,NA,NA,NA,NA,"BSL-1.0",NA,NA,NA,NA,"no","4.5.1"
"Biobase","/usr/local/lib/R/site-library","2.70.0",NA,"R (>= 2.10), BiocGenerics (>= 0.27.1), utils","methods",NA,"tools, tkWidgets, ALL, RUnit, golubEsets, BiocStyle, knitr,
limma",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.5.1"
"BiocGenerics","/usr/local/lib/R/site-library","0.56.0",NA,"R (>= 4.0.0), methods, utils, graphics, stats, generics","methods, utils, graphics, stats",NA,"Biobase, S4Vectors, IRanges, S4Arrays, SparseArray,
DelayedArray, HDF5Array, GenomicRanges, pwalign, Rsamtools,
AnnotationDbi, affy, affyPLM, DESeq2, flowClust, MSnbase,
annotate, MultiAssayExperiment, RUnit",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.5.1"
"BiocIO","/usr/local/lib/R/site-library","1.20.0",NA,"R (>= 4.3.0)","BiocGenerics, S4Vectors, methods, tools",NA,"testthat, knitr, rmarkdown, BiocStyle",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.5.1"
"BiocManager","/usr/local/lib/R/site-library","1.30.27",NA,NA,"utils",NA,"BiocVersion, BiocStyle, remotes, rmarkdown, testthat, withr,
curl, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.5.1"
"BiocParallel","/usr/local/lib/R/site-library","1.44.0",NA,"methods, R (>= 4.1.0)","stats, utils, futile.logger, parallel, snow, codetools","BH (>= 1.87.0), cpp11","BiocGenerics, tools, foreach, BBmisc, doParallel,
GenomicRanges, RNAseqData.HNRNPC.bam.chr14,
TxDb.Hsapiens.UCSC.hg19.knownGene, VariantAnnotation,
Rsamtools, GenomicAlignments, ShortRead, RUnit, BiocStyle,
knitr, batchtools, data.table","Rmpi","GPL-2 | GPL-3 | BSL-1.0",NA,NA,NA,NA,"yes","4.5.1"
"BiocVersion","/usr/local/lib/R/site-library","3.22.0",NA,"R (>= 4.5.0)",NA,NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.5.1"
"Biostrings","/usr/local/lib/R/site-library","2.78.0",NA,"R (>= 4.1.0), BiocGenerics (>= 0.37.0), S4Vectors (>=
0.27.12), IRanges (>= 2.31.2), XVector (>= 0.37.1), Seqinfo","methods, utils, grDevices, stats, crayon","S4Vectors, IRanges, XVector","graphics, pwalign, BSgenome (>= 1.13.14),
BSgenome.Celegans.UCSC.ce2 (>= 1.3.11),
BSgenome.Dmelanogaster.UCSC.dm3 (>= 1.3.11),
BSgenome.Hsapiens.UCSC.hg18, drosophila2probe, hgu95av2probe,
hgu133aprobe, GenomicFeatures (>= 1.3.14), hgu95av2cdf, affy
(>= 1.41.3), affydata (>= 1.11.5), RUnit, BiocStyle, knitr,
testthat (>= 3.0.0), covr",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.5.1"
"bit","/usr/local/lib/R/site-library","4.6.0",NA,"R (>= 3.4.0)",NA,NA,"testthat (>= 3.0.0), roxygen2, knitr, markdown, rmarkdown,
microbenchmark, bit64 (>= 4.0.0), ff (>= 4.0.0)",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.5.1"
"bit64","/usr/local/lib/R/site-library","4.6.0-1",NA,"R (>= 3.4.0), bit (>= 4.0.0)","graphics, methods, stats, utils",NA,"testthat (>= 3.0.3), withr",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.5.1"
"bitops","/usr/local/lib/R/site-library","1.0-9",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.5.1"
"blob","/usr/local/lib/R/site-library","1.2.4",NA,NA,"methods, rlang, vctrs (>= 0.2.1)",NA,"covr, crayon, pillar (>= 1.2.1), testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.1"
"BPCells","/usr/local/lib/R/site-library","0.3.1",NA,"R (>= 4.0.0)","methods, grDevices, magrittr, Matrix, Rcpp, rlang, tools,
vctrs, lifecycle, stringr, tibble, dplyr (>= 1.0.0), tidyr,
readr, ggplot2 (>= 3.4.0), scales, patchwork, scattermore,
ggrepel, RColorBrewer, hexbin","Rcpp, RcppEigen","IRanges, GenomicRanges, matrixStats, igraph, RcppHNSW,
RcppAnnoy",NA,"Apache-2.0 or MIT",NA,NA,NA,NA,"yes","4.5.1"
"brio","/usr/local/lib/R/site-library","1.1.5",NA,"R (>= 3.6)",NA,NA,"covr, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.5.1"
"BSgenome","/usr/local/lib/R/site-library","1.78.0",NA,"R (>= 2.8.0), methods, BiocGenerics (>= 0.13.8), S4Vectors (>=
0.47.6), IRanges (>= 2.13.16), Seqinfo, GenomicRanges (>=
1.61.1), Biostrings (>= 2.77.2), BiocIO, rtracklayer (>=
1.69.1)","utils, stats, matrixStats, XVector, Rsamtools (>= 2.25.1)",NA,"BiocManager, GenomeInfoDb, BSgenome.Celegans.UCSC.ce2,
BSgenome.Hsapiens.UCSC.hg38,
BSgenome.Hsapiens.UCSC.hg38.masked,
BSgenome.Mmusculus.UCSC.mm10, BSgenome.Rnorvegicus.UCSC.rn5,
BSgenome.Scerevisiae.UCSC.sacCer1,
BSgenome.Hsapiens.NCBI.GRCh38,
TxDb.Hsapiens.UCSC.hg38.knownGene,
TxDb.Mmusculus.UCSC.mm10.knownGene,
SNPlocs.Hsapiens.dbSNP144.GRCh38,
XtraSNPlocs.Hsapiens.dbSNP144.GRCh38, hgu95av2probe, RUnit,
BSgenomeForge",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.5.1"
"BSgenome.Hsapiens.UCSC.hg38","/usr/local/lib/R/site-library","1.4.5",NA,"R (>= 4.2.0), GenomeInfoDb (>= 1.34.9), BSgenome (>= 1.66.2)",NA,NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.5.1"
"bslib","/usr/local/lib/R/site-library","0.9.0",NA,"R (>= 2.10)","base64enc, cachem, fastmap (>= 1.1.1), grDevices, htmltools
(>= 0.5.8), jquerylib (>= 0.1.3), jsonlite, lifecycle, memoise
(>= 2.0.1), mime, rlang, sass (>= 0.4.9)",NA,"bsicons, curl, fontawesome, future, ggplot2, knitr, magrittr,
rappdirs, rmarkdown (>= 2.7), shiny (> 1.8.1), testthat,
thematic, tools, utils, withr, yaml",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.1"
"cachem","/usr/local/lib/R/site-library","1.1.0",NA,NA,"rlang, fastmap (>= 1.2.0)",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.5.1"
"Cairo","/usr/local/lib/R/site-library","1.7-0",NA,"R (>= 2.7.0)","grDevices, graphics",NA,"png","FastRWeb","GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.5.1"
"callr","/usr/local/lib/R/site-library","3.7.6",NA,"R (>= 3.4)","processx (>= 3.6.1), R6, utils",NA,"asciicast (>= 2.3.1), cli (>= 1.1.0), mockery, ps, rprojroot,
spelling, testthat (>= 3.2.0), withr (>= 2.3.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.1"
"caTools","/usr/local/lib/R/site-library","1.18.3",NA,"R (>= 3.6.0)","bitops",NA,"MASS, rpart",NA,"GPL-3",NA,NA,NA,NA,"yes","4.5.1"
"cellranger","/usr/local/lib/R/site-library","1.1.0",NA,"R (>= 3.0.0)","rematch, tibble",NA,"covr, testthat (>= 1.0.0), knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.1"
"cigarillo","/usr/local/lib/R/site-library","1.0.0",NA,"methods, BiocGenerics, S4Vectors (>= 0.47.2), IRanges,
Biostrings","stats","S4Vectors, IRanges","Rsamtools, GenomicAlignments, RNAseqData.HNRNPC.bam.chr14,
BSgenome.Hsapiens.UCSC.hg19, testthat, knitr, rmarkdown,
BiocStyle",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.5.1"
"classInt","/usr/local/lib/R/site-library","0.4-11",NA,"R (>= 2.2)","grDevices, stats, graphics, e1071, class, KernSmooth",NA,"spData (>= 0.2.6.2), units, knitr, rmarkdown, tinytest",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.5.0"
"cli","/usr/local/lib/R/site-library","3.6.5",NA,"R (>= 3.4)","utils",NA,"callr, covr, crayon, digest, glue (>= 1.6.0), grDevices,
htmltools, htmlwidgets, knitr, methods, processx, ps (>=
1.3.4.9000), rlang (>= 1.0.2.9003), rmarkdown, rprojroot,
rstudioapi, testthat (>= 3.2.0), tibble, whoami, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.5.1"
"clipr","/usr/local/lib/R/site-library","0.8.0",NA,NA,"utils",NA,"covr, knitr, rmarkdown, rstudioapi (>= 0.5), testthat (>=
2.0.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.5.1"
"commonmark","/usr/local/lib/R/site-library","2.0.0",NA,NA,NA,NA,"curl, testthat, xml2",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","4.5.1"
"cowplot","/usr/local/lib/R/site-library","1.2.0",NA,"R (>= 3.5.0)","ggplot2 (>= 3.5.2), grid, gtable, grDevices, methods, rlang,
scales",NA,"Cairo, covr, dplyr, forcats, gridGraphics (>= 0.4-0), knitr,
lattice, magick, maps, PASWR, patchwork, rmarkdown, ragg,
testthat (>= 1.0.0), tidyr, vdiffr (>= 0.3.0), VennDiagram",NA,"GPL-2",NA,NA,NA,NA,"no","4.5.1"
"cpp11","/usr/local/lib/R/site-library","0.5.2",NA,"R (>= 4.0.0)",NA,NA,"bench, brio, callr, cli, covr, decor, desc, ggplot2, glue,
knitr, lobstr, mockery, progress, rmarkdown, scales, Rcpp,
testthat (>= 3.2.0), tibble, utils, vctrs, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.1"
"crayon","/usr/local/lib/R/site-library","1.5.3",NA,NA,"grDevices, methods, utils",NA,"mockery, rstudioapi, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.1"
"crosstalk","/usr/local/lib/R/site-library","1.2.2",NA,NA,"htmltools (>= 0.3.6), jsonlite, lazyeval, R6",NA,"bslib, ggplot2, sass, shiny, testthat (>= 2.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.1"
"curl","/usr/local/lib/R/site-library","7.0.0",NA,"R (>= 3.0.0)",NA,NA,"spelling, testthat (>= 1.0.0), knitr, jsonlite, later,
rmarkdown, httpuv (>= 1.4.4), webutils",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.5.1"
"data.table","/usr/local/lib/R/site-library","1.17.8",NA,"R (>= 3.3.0)","methods",NA,"bit64 (>= 4.0.0), bit (>= 4.0.4), R.utils, xts, zoo (>=
1.8-1), yaml, knitr, markdown",NA,"MPL-2.0 | file LICENSE",NA,NA,NA,NA,"yes","4.5.1"
"DBI","/usr/local/lib/R/site-library","1.2.3",NA,"methods, R (>= 3.0.0)",NA,NA,"arrow, blob, covr, DBItest, dbplyr, downlit, dplyr, glue,
hms, knitr, magrittr, nanoarrow (>= 0.3.0.1), RMariaDB,
rmarkdown, rprojroot, RSQLite (>= 1.1-2), testthat (>= 3.0.0),
vctrs, xml2",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.5.0"
"DelayedArray","/usr/local/lib/R/site-library","0.36.0",NA,"R (>= 4.0.0), methods, stats4, Matrix, BiocGenerics (>=
0.53.3), MatrixGenerics (>= 1.1.3), S4Vectors (>= 0.47.6),
IRanges (>= 2.17.3), S4Arrays (>= 1.9.3), SparseArray (>=
1.7.5)","stats","S4Vectors","BiocParallel, HDF5Array (>= 1.17.12), genefilter,
SummarizedExperiment, airway, lobstr, DelayedMatrixStats,
knitr, rmarkdown, BiocStyle, RUnit",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.5.1"
"DelayedMatrixStats","/usr/local/lib/R/site-library","1.32.0",NA,"MatrixGenerics (>= 1.15.1), DelayedArray (>= 0.31.7)","methods, sparseMatrixStats (>= 1.13.2), Matrix (>= 1.5-0),
S4Vectors (>= 0.17.5), IRanges (>= 2.25.10), SparseArray (>=
1.5.19)",NA,"testthat, knitr, rmarkdown, BiocStyle, microbenchmark,
profmem, HDF5Array, matrixStats (>= 1.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.1"
"deldir","/usr/local/lib/R/site-library","2.0-4",NA,"R (>= 3.5.0)","graphics, grDevices",NA,"polyclip",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.5.1"
"DEoptimR","/usr/local/lib/R/site-library","1.1-4",NA,NA,"stats",NA,NA,"robustbase","GPL (>= 2)",NA,NA,NA,NA,"no","4.5.0"
"desc","/usr/local/lib/R/site-library","1.4.3",NA,"R (>= 3.4)","cli, R6, utils",NA,"callr, covr, gh, spelling, testthat, whoami, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.1"
"diffobj","/usr/local/lib/R/site-library","0.3.6",NA,"R (>= 3.1.0)","crayon (>= 1.3.2), tools, methods, utils, stats",NA,"knitr, rmarkdown",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.5.1"
"digest","/usr/local/lib/R/site-library","0.6.38",NA,"R (>= 3.3.0)","utils",NA,"tinytest, simplermarkdown, rbenchmark",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.5.1"
"DirichletMultinomial","/usr/local/lib/R/site-library","1.52.0",NA,"S4Vectors, IRanges","stats4, methods, BiocGenerics",NA,"lattice, parallel, MASS, RColorBrewer, DT, knitr, rmarkdown,
BiocStyle",NA,"LGPL-3",NA,NA,NA,NA,"yes","4.5.1"
"docopt","/usr/local/lib/R/site-library","0.7.2",NA,NA,"methods",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.1"
"dotCall64","/usr/local/lib/R/site-library","1.2",NA,"R (>= 4.0)",NA,NA,"microbenchmark, RhpcBLASctl, RColorBrewer, roxygen2, spam,
testthat,",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.5.1"
"dplyr","/usr/local/lib/R/site-library","1.1.4",NA,"R (>= 3.5.0)","cli (>= 3.4.0), generics, glue (>= 1.3.2), lifecycle (>=
1.0.3), magrittr (>= 1.5), methods, pillar (>= 1.9.0), R6,
rlang (>= 1.1.0), tibble (>= 3.2.0), tidyselect (>= 1.2.0),
utils, vctrs (>= 0.6.4)",NA,"bench, broom, callr, covr, DBI, dbplyr (>= 2.2.1), ggplot2,
knitr, Lahman, lobstr, microbenchmark, nycflights13, purrr,
rmarkdown, RMySQL, RPostgreSQL, RSQLite, stringi (>= 1.7.6),
testthat (>= 3.1.5), tidyr (>= 1.3.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.5.1"
"dqrng","/usr/local/lib/R/site-library","0.4.1",NA,"R (>= 3.5.0)","Rcpp (>= 0.12.16)","Rcpp, BH (>= 1.64.0-1), sitmo (>= 2.0.0)","BH, testthat, knitr, rmarkdown, mvtnorm (>= 1.2-3), bench,
sitmo",NA,"AGPL-3",NA,NA,NA,NA,"yes","4.5.1"
"DT","/usr/local/lib/R/site-library","0.34.0",NA,NA,"crosstalk, htmltools (>= 0.3.6), htmlwidgets (>= 1.3),
jquerylib, jsonlite (>= 0.9.16), magrittr, promises",NA,"bslib, future, httpuv, knitr (>= 1.8), rmarkdown, shiny (>=
1.6), testit, tibble",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.1"
"e1071","/usr/local/lib/R/site-library","1.7-16",NA,NA,"graphics, grDevices, class, stats, methods, utils, proxy",NA,"cluster, mlbench, nnet, randomForest, rpart, SparseM, xtable,
Matrix, MASS, slam",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.5.0"
"enrichR","/usr/local/lib/R/site-library","3.4",NA,"R (>= 3.5.0)","httr, curl, rjson, ggplot2, WriteXLS",NA,"knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.5.1"
"EnsDb.Hsapiens.v86","/usr/local/lib/R/site-library","2.99.0",NA,"ensembldb",NA,NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.5.1"
"ensembldb","/usr/local/lib/R/site-library","2.34.0",NA,"R (>= 3.5.0), BiocGenerics (>= 0.15.10), GenomicRanges (>=
1.61.1), GenomicFeatures (>= 1.61.4), AnnotationFilter (>=
1.5.2)","methods, RSQLite (>= 1.1), DBI, Biobase, Seqinfo, GenomeInfoDb
(>= 1.45.5), AnnotationDbi (>= 1.31.19), rtracklayer (>=
1.69.1), S4Vectors (>= 0.23.10), Rsamtools, IRanges (>=
2.13.24), ProtGenerics, Biostrings (>= 2.77.2), curl",NA,"BiocStyle, knitr, EnsDb.Hsapiens.v86 (>= 0.99.8), testthat,
BSgenome.Hsapiens.NCBI.GRCh38, ggbio (>= 1.24.0), Gviz (>=
1.20.0), rmarkdown, AnnotationHub","RMariaDB, shiny","LGPL",NA,NA,NA,NA,"no","4.5.1"
"evaluate","/usr/local/lib/R/site-library","1.0.5",NA,"R (>= 3.6.0)",NA,NA,"callr, covr, ggplot2 (>= 3.3.6), lattice, methods, pkgload,
ragg (>= 1.4.0), rlang (>= 1.1.5), knitr, testthat (>= 3.0.0),
withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.1"
"farver","/usr/local/lib/R/site-library","2.1.2",NA,NA,NA,NA,"covr, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.5.1"
"fastDummies","/usr/local/lib/R/site-library","1.7.5",NA,"R (>= 2.10)","data.table, tibble, stringr",NA,"testthat (>= 2.1.0), knitr, rmarkdown, covr, spelling",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.1"
"fastmap","/usr/local/lib/R/site-library","1.2.0",NA,NA,NA,NA,"testthat (>= 2.1.1)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.5.1"
"fastmatch","/usr/local/lib/R/site-library","1.1-6",NA,"R (>= 2.3.0)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.5.1"
"fitdistrplus","/usr/local/lib/R/site-library","1.2-4",NA,"R (>= 3.5.0), MASS, grDevices, survival, methods","stats, rlang",NA,"actuar, rgenoud, mc2d, gamlss.dist, knitr, ggplot2,
GeneralizedHyperbolic, rmarkdown, Hmisc, bookdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.5.1"
"FNN","/usr/local/lib/R/site-library","1.1.4.1",NA,"R (>= 4.0.0)",NA,NA,"chemometrics, mvtnorm",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.5.1"
"fontawesome","/usr/local/lib/R/site-library","0.5.3",NA,"R (>= 3.3.0)","rlang (>= 1.0.6), htmltools (>= 0.5.1.1)",NA,"covr, dplyr (>= 1.0.8), gt (>= 0.9.0), knitr (>= 1.31),
testthat (>= 3.0.0), rsvg",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.1"
"formatR","/usr/local/lib/R/site-library","1.14",NA,"R (>= 3.2.3)",NA,NA,"rstudioapi, shiny, testit, rmarkdown, knitr",NA,"GPL",NA,NA,NA,NA,"no","4.5.1"
"fs","/usr/local/lib/R/site-library","1.6.6",NA,"R (>= 3.6)","methods",NA,"covr, crayon, knitr, pillar (>= 1.0.0), rmarkdown, spelling,
testthat (>= 3.0.0), tibble (>= 1.1.0), vctrs (>= 0.3.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.5.1"
"futile.logger","/usr/local/lib/R/site-library","1.4.3",NA,"R (>= 3.0.0)","utils, lambda.r (>= 1.1.0), futile.options",NA,"testthat, jsonlite",NA,"LGPL-3",NA,NA,NA,NA,"no","4.5.1"
"futile.options","/usr/local/lib/R/site-library","1.0.1",NA,"R (>= 2.8.0)",NA,NA,NA,NA,"LGPL-3",NA,NA,NA,NA,"no","4.5.1"
"future","/usr/local/lib/R/site-library","1.67.0",NA,"R (>= 3.2.0)","digest, globals (>= 0.18.0), listenv (>= 0.8.0), parallel,
parallelly (>= 1.44.0), utils",NA,"methods, RhpcBLASctl, R.rsp, markdown",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.5.1"
"future.apply","/usr/local/lib/R/site-library","1.20.0",NA,"R (>= 3.2.0), future (>= 1.49.0)","globals, parallel, utils",NA,"datasets, stats, tools, listenv, R.rsp, markdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.5.1"
"gargle","/usr/local/lib/R/site-library","1.6.0",NA,"R (>= 3.6)","cli (>= 3.0.1), fs (>= 1.3.1), glue (>= 1.3.0), httr (>=
1.4.5), jsonlite, lifecycle (>= 0.2.0), openssl, rappdirs,
rlang (>= 1.1.0), stats, utils, withr",NA,"aws.ec2metadata, aws.signature, covr, httpuv, knitr,
rmarkdown, sodium, spelling, testthat (>= 3.1.7)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.1"
"generics","/usr/local/lib/R/site-library","0.1.4",NA,"R (>= 3.6)","methods",NA,"covr, pkgload, testthat (>= 3.0.0), tibble, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.5.0"
"GenomeInfoDb","/usr/local/lib/R/site-library","1.46.0",NA,"R (>= 4.0.0), methods, BiocGenerics (>= 0.53.2), S4Vectors (>=
0.47.6), IRanges (>= 2.41.1), Seqinfo (>= 0.99.2)","stats, utils, UCSC.utils",NA,"GenomeInfoDbData, R.utils, data.table, GenomicRanges,
Rsamtools, GenomicAlignments, BSgenome, GenomicFeatures,
TxDb.Dmelanogaster.UCSC.dm3.ensGene,
BSgenome.Scerevisiae.UCSC.sacCer2, BSgenome.Celegans.UCSC.ce2,
BSgenome.Hsapiens.NCBI.GRCh38, RUnit, BiocStyle, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.5.1"
"GenomeInfoDbData","/usr/local/lib/R/site-library","1.2.15",NA,"R (>= 3.5.0)",NA,NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.5.1"
"GenomicAlignments","/usr/local/lib/R/site-library","1.46.0",NA,"R (>= 4.0.0), methods, BiocGenerics (>= 0.37.0), S4Vectors (>=
0.47.6), IRanges (>= 2.23.9), Seqinfo, GenomicRanges (>=
1.61.1), SummarizedExperiment (>= 1.39.1), Biostrings (>=
2.77.2), Rsamtools (>= 2.25.1)","methods, utils, stats, BiocGenerics, S4Vectors, IRanges,
GenomicRanges, Biostrings, Rsamtools, BiocParallel, cigarillo
(>= 0.99.2)","S4Vectors, IRanges","ShortRead, rtracklayer, BSgenome, GenomicFeatures,
RNAseqData.HNRNPC.bam.chr14, pasillaBamSubset,
TxDb.Hsapiens.UCSC.hg19.knownGene,
TxDb.Dmelanogaster.UCSC.dm3.ensGene,
BSgenome.Dmelanogaster.UCSC.dm3, BSgenome.Hsapiens.UCSC.hg19,
DESeq2, edgeR, RUnit, knitr, BiocStyle",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.5.1"
